3-stage,,,,,,,,,,,,
"p0 = 0.2,    p1 = 0.4,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"nSwarm = 300, maxIter = 300,psoType = ""basic""",,,,,,,,,,,,
,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Total CPU Time,Average Result
Run time,6.14,8.08,6.55,5.59,5.86,7.02,6.36,6.33,5.29,5.53,186.68s,26.58
EN(P0),26.41281,26.68866,26.41281,26.41281,26.6619,27.1229,26.60968,26.79332,26.41281,26.41281,,
,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,,
Run time,6.19,5.97,7.5,6.73,6.06,7.36,5.9,5.34,5.39,5.83,,
EN(P0),26.6619,26.6619,26.41281,26.41281,26.41281,26.41281,26.41281,27.1229,26.41281,26.41281,,
,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,,
Run time,6.24,5.51,6.78,4.85,5.95,6.97,6.27,6.56,5.78,6.75,,
EN(P0),26.60968,26.41281,26.41281,27.01801,27.46175,26.6619,26.41281,26.41281,26.41281,26.41281,,
,,,,,,,,,,,,
3-stage,,,,,,,,,,,,
"p0 = 0.2,    p1 = 0.4,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"First : nSwarm = 50, maxIter = 50,psoType = ""quantum""        Second : nSwarm = 300, maxIter = 200,psoType = ""basic""",,,,,,,,,,,,
,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Total CPU Time,Average Result
Run time,5.46,4.98,5.23,4.92,5.44,5.51,4.82,5.09,5.11,5.13,150.71s,25.73
EN(P0),24.08821,26.41281,26.41281,24.08821,26.41281,26.41281,26.41281,26.41281,24.08821,26.41281,,
,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,,
Run time,5.3,5.63,4.17,4.98,4.95,5.12,5.2,4.78,5.08,4.98,,
EN(P0),26.41281,26.41281,25.61771,26.41281,26.41281,24.08821,26.41281,26.41281,26.41281,26.41281,,
,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,,
Run time,5.06,4.81,5.33,5.19,4.6,4.78,5.33,4.63,4.23,4.87,,
EN(P0),24.08821,26.41281,26.41281,26.41281,24.00264,26.41281,26.41281,24.00264,25.61771,24.08821,,
,,,,,,,,,,,,
,,,,,,,,,,,,
3-stage,,,,,,,,,,,,
"p0 = 0.2,    p1 = 0.4,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"First : nSwarm = 50, maxIter = 50,psoType = ""quantum""        Second : nSwarm = 200, maxIter = 200,psoType = ""basic""",,,,,,,,,,,,
,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Total CPU Time,Average Result
Run time,3.61,3.47,3.06,3.39,3.35,3.66,3.21,3.95,2.61,3.2,101.58,25.98046767
EN(P0),26.41281,26.41281,24.00264,26.41281,26.41281,26.41281,26.54259,25.56406,25.75059,24.00264,,
,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,,
Run time,3.64,3.61,3.47,3.59,3.47,3.52,3.67,3.41,3.59,3.53,,
EN(P0),26.41281,26.41281,26.41281,26.41281,26.41281,26.41281,26.41281,26.41281,26.41281,26.41281,,
,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,,
Run time,3.5,3.48,3.61,3.44,2.74,3.36,2.63,3.4,2.77,3.64,,
EN(P0),26.41281,26.41281,26.41281,24.08821,25.75059,24.08821,25.75059,26.41281,25.61771,26.41281,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4-stage,,,,,,,,,,,,
"p0 = 0.2,    p1 = 0.4,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"nSwarm = 800, maxIter = 800,psoType = ""basic""",,,,,,,,,,,,
,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Total CPU Time,Average Result
Run time,139.28,67.7,89.4,107.44,90.32,123.67,107.56,161.7,135.52,140.71,1163.3s,25.851288
EN(P0),25.69689,26.03704,26.03704,26.05126,25.88182,25.76777,25.79034,25.69689,25.78606,25.76777,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4-stage,,,,,,,,,,,,
"p0 = 0.2,    p1 = 0.4,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"First : nSwarm = 100, maxIter = 100,psoType = ""quantum""        Second : nSwarm = 300, maxIter = 300,psoType = ""basic""",,,,,,,,,,,,
,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Total CPU Time,Average Result
Run time,18.87,21.22,22.95,20.5,23.81,18.95,20.87,20.64,18.24,20.19,206.24s,25.703978
EN(P0),25.69689,25.69689,25.69689,25.69689,25.69689,25.69689,25.69689,25.69689,25.76777,25.69689,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4-stage,,,,,,,,,,,,
"p0 = 0.2,    p1 = 0.4,    alpha = 0.1, beta = 0.1  ",,,,,,,,,,,,
"First : nSwarm = 100, maxIter = 100,psoType = ""quantum""        Second : nSwarm = 200, maxIter = 200,psoType = ""basic""",,,,,,,,,,,,
